genre,track_id,loudness,tempo,time_signature,key,mode,duration,hotttnesss,max_segment_time,end_of_fade_in,start_of_fade_out,avg_timbre1,avg_timbre2,avg_timbre3,avg_timbre4,avg_timbre5,avg_timbre6,avg_timbre7,avg_timbre8,avg_timbre9,avg_timbre10,avg_timbre11,avg_timbre12,var_timbre1,var_timbre2,var_timbre3,var_timbre4,var_timbre5,var_timbre6,var_timbre7,var_timbre8,var_timbre9,var_timbre10,var_timbre11,var_timbre12,max_segment_timbre1,max_segment_timbre2,max_segment_timbre3,max_segment_timbre4,max_segment_timbre5,max_segment_timbre6,max_segment_timbre7,max_segment_timbre8,max_segment_timbre9,max_segment_timbre10,max_segment_timbre11,max_segment_timbre12
classic pop and rock,b'TRAYWSL128F4222D80',-12.992,118.297,3,2,1,205.13914,0.5669124072815322,128.55438,0.224,189.69,40.7668166383701,-6.228378607809842,37.078079796264845,2.769675721561969,-7.108315789473693,-7.331811544991519,0.34606281833616226,-8.940147707979625,12.81990831918506,0.18468251273344666,1.2993293718166379,7.105151103565359,18.056067878093273,1305.570337396554,1655.5234192245318,1086.4892331970502,890.7296988816014,642.2172084177948,753.3446659400272,311.23094377614535,516.8073915841244,272.1643547701697,211.58575704261776,383.84124158497747,41.213,-16.448,41.946,-1.881,10.317,48.554,6.945,12.47,11.989,-32.554,-42.146,6.169
classic pop and rock,b'TRAWUMN128F4222D88',-10.002,89.13,4,7,1,188.26404,0.5669124072815322,180.52073,0.0,180.471,43.674785714285704,14.867842565597684,30.264304664723024,13.525072886297385,19.03857434402329,-3.3531778425655974,-4.103879008746354,-11.846600583090382,11.338527696793017,2.0831618075801726,3.4901428571428594,4.710517492711371,12.970818174198241,1609.8404608236103,1866.932821445081,1454.2976703795262,764.4495850928707,925.4829806214328,741.2841719605789,358.5354075314285,396.2800502375711,362.87957936886176,267.45268466180727,467.24012494357174,49.865,20.079,38.407,49.077,44.194,-13.319,11.519,-31.243,7.539,0.501,14.015,-14.643
classic pop and rock,b'TRAZYYE128F1456A0E',-15.603,107.073,3,7,1,151.03955,0.5669124072815322,51.15061,0.55,143.47,32.91041803278693,-46.4228442622951,4.102678278688526,-1.2667315573770506,15.676827868852445,-2.210440573770492,-20.637305327868848,-15.257932377049178,13.862520491803267,-0.6229077868852465,-3.3184610655737736,-3.944965163934426,36.02442768180598,3041.854909701154,2714.9880590993653,2409.7129527865454,717.7960401834864,1132.286308082534,860.8308644784962,578.3423027433779,362.1681074463018,383.71429692387363,356.43168446569723,418.7805704926385,46.035,8.204,10.195,112.329,5.906,12.839,-52.562,-50.754,-10.557,-34.986,-63.658,16.199
classic pop and rock,b'TRATFFU12903CFA9D6',-9.67,117.696,1,3,1,113.97179,0.5669124072815322,109.4961,0.369,110.428,43.95403250000006,26.904957499999963,76.0242425,20.483917500000015,-15.461867499999988,15.300022499999985,-14.025420000000004,-3.1776900000000023,10.282367500000003,2.9309125,1.0134699999999999,9.200640000000002,22.235839296443757,2901.335831770694,2592.776104903693,2427.9477731056922,889.2917569849426,1362.3342619219925,752.1219433985998,546.3690922239001,244.0768577324436,301.2162847248439,525.4307143041001,348.5464905054,51.08,38.188,94.531,-3.911,-26.269,-0.269,-12.595,16.553,7.229,-5.771,11.174,4.515
classic pop and rock,b'TRBFNZQ128F4249CCA',-9.334,93.033,4,2,1,133.69424,0.5669124072815322,109.27542,0.087,124.122,44.36215990453462,-16.221446300715993,27.86117422434367,1.051131264916468,-2.0524319809069205,3.312825775656321,5.322415274463007,-2.0901551312649165,9.52805250596659,1.887823389021482,-4.407816229116948,8.53928639618138,16.70046898397707,1665.3360676886423,2321.373084950553,1570.3884880615285,693.920296274013,1064.586521819289,966.2780668728934,568.4126060737862,343.2158611476011,506.1580015630805,285.2783279829346,298.97422881535175,46.629,-11.072,89.433,-87.168,4.806,44.032,37.161,-11.904,0.574,-0.318,-7.153,18.901
classic pop and rock,b'TRBBTDV128F934F6B1',-11.761,124.291,1,8,1,173.06077,0.5669124072815322,115.58082,0.392,165.941,39.98801978691017,-1.8674809741248093,30.552158295281533,2.9838812785388122,-4.5858584474885875,16.67840487062405,-20.634266362252664,-0.22314155251141454,6.3435479452054775,0.14459208523592018,-0.5227412480974126,16.8440091324201,26.472051437964662,2171.2294975981945,2090.928093341763,2657.995790953941,636.7392046177098,1192.6715177660642,1025.5080294008917,611.6532682767668,377.3125261472445,380.00308317302705,475.02326653578746,364.85424908971856,47.996,73.01,30.457,136.172,1.823,68.37,-26.138,-34.497,-11.841,-50.474,-36.89,18.132
classic pop and rock,b'TRABDZC128F42AC23F',-9.448,76.013,3,4,0,170.84036,0.4440256810109478,153.92172,0.0,165.32,44.79519389978214,15.032424836601313,36.83032026143791,-5.39177777777778,29.628629629629646,-8.394773420479298,-27.84537690631806,-11.23229411764707,8.762799564270145,-0.2999106753812635,0.03297385620915,-0.9147952069716783,20.214683907936642,1866.8895663271378,2318.644165337522,2101.524206268703,929.7334979979015,772.6469261926712,880.4946794766785,500.3627628960653,554.1125056766011,307.67794715324106,220.7792579818873,508.7693226421558,48.678,36.078,103.968,-39.955,28.845,47.88,12.939,5.669,-4.295,18.354,-1.232,5.6
classic pop and rock,b'TRALJAZ128F933DE4A',-17.289,159.184,1,4,0,256.9922,0.4440256810109478,232.25379,0.229,249.388,36.417860438292976,110.30506689734736,-8.30202998846598,-25.73477623990777,41.97652018454431,-24.340395617070374,-28.29266897347174,-2.9140553633217943,-13.323878892733562,1.501273356401382,-2.1217393310265265,2.7673264129181048,19.830304526081918,1098.0491719909103,2214.0735759944855,634.3655187457786,689.5524224895004,275.09610125640546,320.7082500115287,172.42440211458202,186.72418931751304,123.05706657002825,62.38808294243219,217.54267099495385,45.485,57.611,30.441,1.244,24.12,-16.476,-9.787,4.377,-5.767,-9.651,-4.998,-15.359
classic pop and rock,b'TRAYEUY128F4233766',-18.637,70.769,4,0,1,182.282,0.4374948068860087,163.78494,0.336,172.286,33.55206950672644,-84.08847085201792,34.9437264573991,10.802513452914807,3.575710762331838,-11.409280269058304,1.13878923766816,0.9058766816143518,16.23252690582962,7.429403587443945,-3.1591143497757836,-5.765040358744394,35.21726575525854,8483.373760074264,2835.5939881942286,1964.1690323170837,1157.159124600198,701.0758750985797,1075.5292574667899,665.407592022909,576.1561533479304,280.90981642904546,173.27874690396445,677.540641245008,44.121,-111.722,118.995,79.495,12.184,15.538,9.536,-5.95,72.653,12.129,12.79,15.546
classic pop and rock,b'TRBCJKE12903CE3A8B',-11.088,118.719,4,5,1,187.74159,0.4374948068860087,19.13057,0.165,181.243,43.79070411985017,48.38923220973781,58.11912734082397,-2.2644119850187265,12.107097378277146,2.2330280898876396,-18.078803370786524,-7.114359550561795,-0.9557696629213485,-6.2726086142322135,-2.2765823970037453,10.517885767790265,14.401009474252694,1768.0160505940175,1394.554054762811,1144.2698974519908,410.33470550737195,469.98445550670186,232.08151327407117,332.9791821254053,204.73811778776906,213.27806126442027,173.69846556905358,115.45698228470381,41.119,23.814,-25.805,106.908,10.267,92.089,-21.789,-3.346,1.017,-10.764,-21.579,6.012
